InventoryId,Sum of BeginOnHand,Sum of EndOnHand,LowInvFlag,Sum of Purch_Agg.TotalPurchase$,Sum of Purch_Agg.TotalPurchaseQty,Sum of Sales_Agg.TotalSales$,Sum of Sales_Agg.TotalSalesQty,Purch_Agg.AvgPurchasePrice,Inventory Variance
1_HARDERSFIELD_1133,0,0,1,966.42,42,191.94,6,23.01,0
1_HARDERSFIELD_1135,7,23,0,1280.84,82,276.87,13,15.62,16
1_HARDERSFIELD_11353,13,16,0,381,12,62.99,1,31.75,3
1_HARDERSFIELD_11354,2,8,1,775.26,118,289.71,29,6.57,6
1_HARDERSFIELD_1136,0,0,1,541.8,140,0,0,3.87,0
1_HARDERSFIELD_11367,17,12,0,564.51,93,178.82,18,6.07,-5
1_HARDERSFIELD_11440,4,7,1,968.84,106,194.87,13,9.14,3
1_HARDERSFIELD_11456,12,24,0,1090.56,48,216.94,6,22.72,12
1_HARDERSFIELD_1148,0,0,1,299.82,57,0,0,5.26,0
1_HARDERSFIELD_11480,21,17,0,120.72,12,29.98,2,10.06,-4
1_HARDERSFIELD_11488,12,24,0,865.95,115,156.87,13,7.53,12
1_HARDERSFIELD_1149,0,0,1,,,0,0,,0
1_HARDERSFIELD_115,5,35,0,3205.5,150,419.85,15,21.37,30
1_HARDERSFIELD_1150,0,0,1,,,0,0,,0
1_HARDERSFIELD_1152,0,0,1,,,0,0,,0
1_HARDERSFIELD_11553,0,2,1,244.44,2,0,0,122.22,2
1_HARDERSFIELD_1157,0,0,1,,,0,0,,0
1_HARDERSFIELD_1162,0,0,1,,,0,0,,0
1_HARDERSFIELD_1163,0,0,1,,,0,0,,0
1_HARDERSFIELD_11640,0,12,0,233.64,36,0,0,6.49,12
1_HARDERSFIELD_11698,10,18,0,611.52,78,395.67,33,7.84,8
1_HARDERSFIELD_1174,12,24,0,2650.29,167,395.81,19,15.87,12
1_HARDERSFIELD_1178,9,12,0,1612.98,206,419.1,40,7.83,3
1_HARDERSFIELD_1180,16,11,0,4300.03,329,1070.44,56,13.07,-5
1_HARDERSFIELD_11825,56,94,0,2460.48,528,620.25,75,4.66,38
1_HARDERSFIELD_11826,25,96,0,3110.48,659,742.09,91,4.72,71
1_HARDERSFIELD_11827,2,56,0,2622.76,551,348.58,42,4.76,54
1_HARDERSFIELD_11828,25,98,0,3060.87,771,590.78,72,3.97,73
1_HARDERSFIELD_1186,5,13,0,629.3,35,83.97,3,17.98,8
1_HARDERSFIELD_1188,0,17,0,439.92,36,0,0,12.22,17
1_HARDERSFIELD_11888,11,19,0,542.16,72,148.87,13,7.53,8
1_HARDERSFIELD_1189,0,10,1,787.2,20,0,0,39.36,10
1_HARDERSFIELD_11915,0,36,0,705.6,36,0,0,19.6,36
1_HARDERSFIELD_11932,1,9,1,438.96,24,230.92,8,18.29,8
1_HARDERSFIELD_11957,13,20,0,1171.74,118,509.7,40,9.93,7
1_HARDERSFIELD_11970,2,31,0,2760.18,358,237.86,14,7.71,29
1_HARDERSFIELD_12069,9,15,0,1577.68,296,373.57,43,5.33,6
1_HARDERSFIELD_12078,16,11,0,179.52,24,101.91,9,7.48,-5
1_HARDERSFIELD_12086,18,18,0,115.8,12,27.98,2,9.65,0
1_HARDERSFIELD_12111,5,6,1,1255.41,117,159.9,10,10.73,1
1_HARDERSFIELD_12123,11,18,0,559.42,166,55.31,9,3.37,7
1_HARDERSFIELD_12140,17,25,0,1205.64,204,159.84,16,5.91,8
1_HARDERSFIELD_12147,24,41,0,1393.9,265,596.38,62,5.26,17
1_HARDERSFIELD_12155,16,36,0,482.4,72,95.92,8,6.7,20
1_HARDERSFIELD_12181,0,4,1,587.52,24,0,0,24.48,4
1_HARDERSFIELD_12192,5,3,1,,,0,0,,-2
1_HARDERSFIELD_1220,0,22,0,7245.59,331,1494.53,47,21.89,22
1_HARDERSFIELD_12203,0,3,1,1265.4,185,0,0,6.84,3
1_HARDERSFIELD_12211,36,12,0,386.05,35,353.82,18,11.03,-24
1_HARDERSFIELD_12212,0,16,0,2167.12,206,0,0,10.52,16
1_HARDERSFIELD_12213,22,35,0,3179.29,601,954.86,114,5.29,13
1_HARDERSFIELD_12216,7,40,0,2357.64,354,371.14,36,6.66,33
1_HARDERSFIELD_12220,16,38,0,3501.72,639,1709.73,199,5.48,22
1_HARDERSFIELD_12227,11,21,0,633,75,151.89,11,8.44,10
1_HARDERSFIELD_12235,5,6,1,167.88,12,42.98,2,13.99,1
1_HARDERSFIELD_1226,5,7,1,599.7,30,52.98,2,19.99,2
1_HARDERSFIELD_12270,9,11,0,715.04,82,105.93,7,8.72,2
1_HARDERSFIELD_1228,8,6,1,1255.68,18,304.97,3,69.76,-2
1_HARDERSFIELD_1231,10,32,0,5327.76,562,883.32,68,9.48,22
1_HARDERSFIELD_1232,32,37,0,10306.71,647,2559.89,111,15.93,5
1_HARDERSFIELD_1233,98,177,0,39247.38,1494,7018.05,195,26.27,79
1_HARDERSFIELD_12339,0,6,1,114.96,12,0,0,9.58,6
1_HARDERSFIELD_12343,9,10,1,637.26,57,271.86,14,11.18,1
1_HARDERSFIELD_1237,14,70,0,4668.54,138,199.96,4,33.83,56
1_HARDERSFIELD_1238,52,48,0,854.4,240,179.64,36,3.56,-4
1_HARDERSFIELD_12387,0,12,0,129.6,12,0,0,10.8,12
1_HARDERSFIELD_1239,16,12,0,2359.41,59,458.91,9,39.99,-4
1_HARDERSFIELD_1240,0,4,1,449.82,18,0,0,24.99,4
1_HARDERSFIELD_1244,0,1,1,1496.43,117,47.97,3,12.79,1
1_HARDERSFIELD_12465,33,7,1,295.68,48,296.67,33,6.16,-26
1_HARDERSFIELD_12478,7,0,1,1139.84,104,132.93,7,10.96,-7
1_HARDERSFIELD_1249,0,10,1,1277.64,63,0,0,20.28,10
1_HARDERSFIELD_12495,27,29,0,507.94,109,147.82,18,4.66,2
1_HARDERSFIELD_12520,12,22,0,490.88,104,87.89,11,4.72,10
1_HARDERSFIELD_1258,19,24,0,868.53,51,206.91,9,17.03,5
1_HARDERSFIELD_12586,11,29,0,814.58,169,275.67,33,4.82,18
1_HARDERSFIELD_126,17,36,0,10674.2,530,1187.64,36,20.14,19
1_HARDERSFIELD_12650,0,10,1,110.4,12,0,0,9.2,10
1_HARDERSFIELD_12656,0,5,1,260.04,11,45.99,1,23.64,5
1_HARDERSFIELD_12663,0,0,1,820.8,152,175.78,22,5.4,0
1_HARDERSFIELD_12666,27,22,0,402,60,227.78,22,6.7,-5
1_HARDERSFIELD_12685,5,15,0,729.06,87,194.87,13,8.38,10
1_HARDERSFIELD_1269,9,40,0,4280.64,224,700.74,26,19.11,31
1_HARDERSFIELD_12697,0,1,1,1113.97,143,0,0,7.79,1
1_HARDERSFIELD_1271,4,9,1,1541.19,41,199.96,4,37.59,5
1_HARDERSFIELD_1273,10,30,0,1391.4,60,295.9,10,23.19,20
1_HARDERSFIELD_1274,0,0,1,,,0,0,,0
1_HARDERSFIELD_12747,16,31,0,495.28,151,149.66,24,3.28,15
1_HARDERSFIELD_12771,5,56,0,4186.24,496,851.36,64,8.44,51
1_HARDERSFIELD_12773,19,26,0,589.41,59,119.92,8,9.99,7
1_HARDERSFIELD_1278,34,24,0,2243.64,84,524.85,15,26.71,-10
1_HARDERSFIELD_1281,7,12,0,962.34,86,194.87,13,11.19,5
1_HARDERSFIELD_1282,0,8,1,1122,60,201.93,7,18.7,8
1_HARDERSFIELD_12901,4,11,0,404.82,78,71.92,8,5.19,7
1_HARDERSFIELD_12943,25,20,0,667,145,249.75,25,4.6,-5
1_HARDERSFIELD_1295,13,2,1,1629.96,564,514.71,129,2.89,-11
1_HARDERSFIELD_12951,7,8,1,241.2,36,65.94,6,6.7,1
1_HARDERSFIELD_1297,0,0,1,561.27,353,0,0,1.59,0
1_HARDERSFIELD_12994,5,69,0,1729.92,212,223.82,18,8.16,64
1_HARDERSFIELD_13081,4,6,1,465.75,23,30.99,1,20.25,2
1_HARDERSFIELD_13086,0,1,1,186.66,1,0,0,186.66,1
1_HARDERSFIELD_13097,17,11,0,359.4,60,113.89,11,5.99,-6
1_HARDERSFIELD_13163,24,19,0,1165.11,213,129.87,13,5.47,-5
1_HARDERSFIELD_13225,11,14,0,639.2,47,70.97,3,13.6,3
1_HARDERSFIELD_1323,10,15,0,3044.16,224,655.67,33,13.59,5
1_HARDERSFIELD_13258,5,15,0,687.94,106,155.88,12,6.49,10
1_HARDERSFIELD_13278,12,18,0,714.96,36,179.94,6,19.86,6
1_HARDERSFIELD_1330,2,0,1,306.16,8,115.98,2,38.27,-2
1_HARDERSFIELD_13303,26,30,0,913.92,102,153.89,11,8.96,4
1_HARDERSFIELD_13338,0,0,1,895.68,96,0,0,9.33,0
1_HARDERSFIELD_13341,0,4,1,158.88,12,0,0,13.24,4
1_HARDERSFIELD_1336,44,9,1,815.64,42,807.72,28,19.42,-35
1_HARDERSFIELD_13397,14,13,0,1410.07,103,139.94,6,13.69,-1
1_HARDERSFIELD_1342,0,2,1,454.5,6,0,0,75.75,2
1_HARDERSFIELD_13422,30,7,1,909.45,141,294.67,29,6.45,-23
1_HARDERSFIELD_1343,4,1,1,,,165.99,1,,-3
1_HARDERSFIELD_13430,20,189,0,2677.23,453,1234.91,109,5.91,169
1_HARDERSFIELD_1345,6,28,0,4836.5,170,1052.73,27,28.45,22
1_HARDERSFIELD_13451,9,13,0,901.6,112,467.61,39,8.05,4
1_HARDERSFIELD_13454,7,7,1,527,31,349.86,14,17,0
1_HARDERSFIELD_13458,11,16,0,491.18,82,140.86,14,5.99,5
1_HARDERSFIELD_1346,14,145,0,12154.45,539,1795.41,59,22.55,131
1_HARDERSFIELD_13461,7,6,1,476.28,81,25.98,2,5.88,-1
1_HARDERSFIELD_1347,23,6,1,,,119.97,3,,-17
1_HARDERSFIELD_1348,0,21,0,2166.72,183,707.59,41,11.84,21
1_HARDERSFIELD_13491,0,14,0,596.96,82,0,0,7.28,14
1_HARDERSFIELD_13492,0,28,0,502.24,86,59.95,5,5.84,28
1_HARDERSFIELD_13497,3,19,0,2223.6,327,781.35,65,6.8,16
1_HARDERSFIELD_13498,6,15,0,490.78,106,173.79,21,4.63,9
1_HARDERSFIELD_1355,51,53,0,911.68,352,261.75,75,2.59,2
1_HARDERSFIELD_1358,5,11,0,2571,60,805.87,13,42.85,6
1_HARDERSFIELD_1359,5,17,0,2208.87,101,419.85,15,21.87,12
1_HARDERSFIELD_13594,6,15,0,187.68,23,45.96,4,8.16,9
1_HARDERSFIELD_13603,4,5,1,46.56,4,0,0,11.64,1
1_HARDERSFIELD_13614,0,60,0,700.8,60,0,0,11.68,60
1_HARDERSFIELD_13619,0,12,0,965.6,80,189.9,10,12.07,12
1_HARDERSFIELD_13636,1,14,0,250.8,24,18.99,1,10.45,13
1_HARDERSFIELD_13638,5,23,0,992.4,120,219.83,17,8.27,18
1_HARDERSFIELD_1365,49,22,0,707.85,117,231.71,29,6.05,-27
1_HARDERSFIELD_1366,135,245,0,1899.99,2043,258,200,0.93,110
1_HARDERSFIELD_13661,38,96,0,2217.51,191,511.78,22,11.61,58
1_HARDERSFIELD_13662,45,103,0,1235.33,131,123.72,8,9.43,58
1_HARDERSFIELD_13663,39,25,0,807.98,71,119.94,6,11.38,-14
1_HARDERSFIELD_13665,12,109,0,5304.32,592,1441.89,111,8.96,97
1_HARDERSFIELD_13708,5,10,1,1325.61,117,383.8,20,11.33,5
1_HARDERSFIELD_13723,0,6,1,693.6,60,194.89,11,11.56,6
1_HARDERSFIELD_1373,27,47,0,2268.84,219,711.51,49,10.36,20
1_HARDERSFIELD_1375,38,54,0,4324,376,683.03,47,11.5,16
1_HARDERSFIELD_1376,85,179,0,25819.65,1585,4210.25,175,16.29,94
1_HARDERSFIELD_1377,0,3,1,1707.91,89,0,0,19.19,3
1_HARDERSFIELD_13779,0,10,1,149.27,23,0,0,6.49,10
1_HARDERSFIELD_1378,0,33,0,2796.6,395,892.06,94,7.08,33
1_HARDERSFIELD_1379,12,38,0,4780.79,419,1154.71,79,11.41,26
1_HARDERSFIELD_13793,23,12,0,884,130,209.85,15,6.8,-11
1_HARDERSFIELD_1380,24,20,0,4869.15,143,666.86,14,34.05,-4
1_HARDERSFIELD_13807,14,23,0,1088.85,183,244.73,27,5.95,9
1_HARDERSFIELD_1382,4,1,1,3027.36,106,645.84,16,28.56,-3
1_HARDERSFIELD_13836,15,10,1,1148.11,107,344.81,19,10.73,-5
1_HARDERSFIELD_1384,46,109,0,6227.97,329,1073.6,40,18.93,63
1_HARDERSFIELD_1385,26,46,0,11431.55,559,2168.21,79,20.45,20
1_HARDERSFIELD_1386,8,12,0,510.65,35,81.96,4,14.59,4
1_HARDERSFIELD_1388,36,9,1,711.14,37,204.92,8,19.22,-27
1_HARDERSFIELD_1389,0,78,0,763,350,83.72,28,2.18,78
1_HARDERSFIELD_13895,11,13,0,482.69,47,53.97,3,10.27,2
1_HARDERSFIELD_13899,13,9,1,125.4,12,15.99,1,10.45,-4
1_HARDERSFIELD_13931,12,17,0,886.35,95,118.93,7,9.33,5
1_HARDERSFIELD_1394,12,20,0,2295.08,181,320.31,19,12.68,8
1_HARDERSFIELD_13940,0,19,0,1818.3,174,379.8,20,10.45,19
1_HARDERSFIELD_1395,21,11,0,893.76,152,224.73,27,5.88,-10
1_HARDERSFIELD_13956,0,13,0,467.4,60,0,0,7.79,13
1_HARDERSFIELD_13958,21,21,0,402.08,56,47.96,4,7.18,0
1_HARDERSFIELD_1396,15,18,0,2693.52,258,613.59,41,10.44,3
1_HARDERSFIELD_13963,0,18,0,1181.25,175,209.86,14,6.75,18
1_HARDERSFIELD_13968,25,27,0,1960.92,234,208.84,16,8.38,2
1_HARDERSFIELD_1397,25,56,0,2108.96,196,405.72,28,10.76,31
1_HARDERSFIELD_13978,0,6,1,428.4,18,0,0,23.8,6
1_HARDERSFIELD_13979,4,7,1,1097.76,48,34.99,1,22.87,3
1_HARDERSFIELD_1398,0,0,1,3328.38,82,626.89,11,40.59,0
1_HARDERSFIELD_13981,11,5,1,189.36,36,0,0,5.26,-6
1_HARDERSFIELD_13991,45,24,0,689.85,105,59.94,6,6.57,-21
1_HARDERSFIELD_14004,12,18,0,1174.8,132,285.78,22,8.9,6
1_HARDERSFIELD_14006,55,186,0,9188.16,1689,2337.66,234,5.44,131
1_HARDERSFIELD_14008,11,11,0,1223.1,151,217.82,18,8.1,0
1_HARDERSFIELD_14054,19,21,0,1244.35,205,161.82,18,6.07,2
1_HARDERSFIELD_14078,14,11,0,1113.75,99,325.83,17,11.25,-3
1_HARDERSFIELD_14119,0,16,0,51.84,24,0,0,2.16,16
1_HARDERSFIELD_14129,58,54,0,1628.71,271,596.34,66,6.01,-4
1_HARDERSFIELD_1415,0,17,0,2545.55,245,432.68,32,10.39,17
1_HARDERSFIELD_14184,26,24,0,1011.52,116,418.7,30,8.72,-2
1_HARDERSFIELD_1424,0,12,0,2587.23,267,402.69,31,9.69,12
1_HARDERSFIELD_14240,2,25,0,1715.2,320,284.71,29,5.36,23
1_HARDERSFIELD_1425,14,7,1,248.76,12,55.98,2,20.73,-7
1_HARDERSFIELD_14250,15,29,0,1112.16,168,231.78,22,6.62,14
1_HARDERSFIELD_14279,0,5,1,433.26,83,0,0,5.22,5
1_HARDERSFIELD_14280,15,21,0,292.64,59,87.4,10,4.96,6
1_HARDERSFIELD_14289,0,10,1,159.96,12,0,0,13.33,10
1_HARDERSFIELD_14300,7,6,1,267.48,36,35.97,3,7.43,-1
1_HARDERSFIELD_14342,67,82,0,1587,345,262.68,32,4.6,15
1_HARDERSFIELD_14363,9,15,0,648.48,48,150.93,7,13.51,6
1_HARDERSFIELD_14381,9,5,1,252.48,24,0,0,10.52,-4
1_HARDERSFIELD_14382,1,4,1,254.16,24,31.98,2,10.59,3
1_HARDERSFIELD_14383,5,11,0,629.52,61,63.96,4,10.32,6
1_HARDERSFIELD_14393,20,60,0,4186,644,179.85,15,6.5,40
1_HARDERSFIELD_14416,16,18,0,818.8,92,261.84,16,8.9,2
1_HARDERSFIELD_14437,12,19,0,1857.12,159,397.79,21,11.68,7
1_HARDERSFIELD_14439,4,26,0,605.34,177,295.21,49,3.42,22
1_HARDERSFIELD_14457,10,9,1,185.76,24,27.98,2,7.74,-1
1_HARDERSFIELD_14475,5,12,0,315.36,48,29.97,3,6.57,7
1_HARDERSFIELD_14539,8,66,0,2032.12,202,1064.29,71,10.06,58
1_HARDERSFIELD_14552,0,5,1,476.64,36,0,0,13.24,5
1_HARDERSFIELD_14622,0,117,0,6477.68,748,396.72,28,8.66,117
1_HARDERSFIELD_1464,15,17,0,903.34,47,124.95,5,19.22,2
1_HARDERSFIELD_1465,0,0,1,2710.92,246,731.54,46,11.02,0
1_HARDERSFIELD_14657,14,10,1,203.76,24,59.96,4,8.49,-4
1_HARDERSFIELD_14663,4,16,0,640.94,73,170.87,13,8.78,12
1_HARDERSFIELD_14672,78,102,0,5189.67,447,753.54,38,11.61,24
1_HARDERSFIELD_1468,24,20,0,2235.79,71,355.92,8,31.49,-4
1_HARDERSFIELD_14690,0,12,0,82.08,12,0,0,6.84,12
1_HARDERSFIELD_14701,52,75,0,2577.48,564,730.61,89,4.57,23
1_HARDERSFIELD_14706,0,67,0,3762.8,818,504.5,50,4.6,67
1_HARDERSFIELD_14710,3,12,0,249.12,24,266.85,15,10.38,9
1_HARDERSFIELD_1479,15,18,0,894.34,97,437.67,33,9.22,3
1_HARDERSFIELD_14805,12,53,0,899,155,250.75,25,5.8,41
1_HARDERSFIELD_14811,12,14,0,180.72,24,42.96,4,7.53,2
1_HARDERSFIELD_14818,0,49,0,1931.4,180,31.98,2,10.73,49
1_HARDERSFIELD_14838,44,38,0,1673.07,217,267.79,17,7.71,-6
1_HARDERSFIELD_1484,0,10,1,889.58,19,0,0,46.82,10
1_HARDERSFIELD_14895,17,33,0,1004.25,195,287.67,33,5.15,16
1_HARDERSFIELD_14920,14,18,0,454.72,58,104.93,7,7.84,4
1_HARDERSFIELD_14930,43,43,0,1025.89,173,317.7,22,5.93,0
1_HARDERSFIELD_14975,22,32,0,801.79,197,148.79,21,4.07,10
1_HARDERSFIELD_14983,6,15,0,1050.2,59,144.95,5,17.8,9
1_HARDERSFIELD_14991,9,3,1,575.52,48,143.92,8,11.99,-6
1_HARDERSFIELD_15092,5,12,0,789.12,48,264.9,10,16.44,7
1_HARDERSFIELD_15094,0,51,0,6592.08,726,849.42,58,9.08,51
1_HARDERSFIELD_15105,124,71,0,3450.58,503,457.63,33,6.86,-53
1_HARDERSFIELD_15138,16,22,0,1495.68,96,839.65,35,15.58,6
1_HARDERSFIELD_15146,1,4,1,620.16,48,45.98,2,12.92,3
1_HARDERSFIELD_1515,7,9,1,730.08,72,181.87,13,10.14,2
1_HARDERSFIELD_15156,0,5,1,300.56,34,0,0,8.84,5
1_HARDERSFIELD_15168,8,8,1,457.31,47,119.92,8,9.73,0
1_HARDERSFIELD_1520,5,4,1,555.68,184,19.95,5,3.02,-1
1_HARDERSFIELD_15228,0,5,1,289.52,14,0,0,20.68,5
1_HARDERSFIELD_15229,35,16,0,939.96,36,377.91,9,26.11,-19
1_HARDERSFIELD_15230,9,7,1,389.52,12,0,0,32.46,-2
1_HARDERSFIELD_15289,0,7,1,47.88,12,0,0,3.99,7
1_HARDERSFIELD_15291,0,43,0,509.2,152,233.61,39,3.35,43
1_HARDERSFIELD_15295,11,16,0,488.48,142,227.56,44,3.44,5
1_HARDERSFIELD_15314,7,16,0,537.6,60,54.96,4,8.96,9
1_HARDERSFIELD_15321,12,29,0,838.6,140,211.78,22,5.99,17
1_HARDERSFIELD_1535,60,67,0,376.8,120,63.84,16,3.14,7
1_HARDERSFIELD_15355,44,125,0,1696.32,186,195.85,11,9.12,81
1_HARDERSFIELD_15356,12,18,0,683.7,106,119.88,12,6.45,6
1_HARDERSFIELD_15393,33,103,0,3540.35,785,710.14,86,4.51,70
1_HARDERSFIELD_15424,0,14,0,275.52,24,0,0,11.48,14
1_HARDERSFIELD_15428,9,60,0,2485.22,313,295.78,22,7.94,51
1_HARDERSFIELD_1545,48,68,0,5398.76,278,1073.62,38,19.42,20
1_HARDERSFIELD_15503,4,4,1,507.4,59,28.98,2,8.6,0
1_HARDERSFIELD_15527,0,15,0,1833.03,279,388.63,37,6.57,15
1_HARDERSFIELD_15548,10,16,0,1280.77,211,269.7,30,6.07,6
1_HARDERSFIELD_15550,6,11,0,940.8,49,57.98,2,19.2,5
1_HARDERSFIELD_15584,5,12,0,77.88,12,29.97,3,6.49,7
1_HARDERSFIELD_15619,22,21,0,844.2,252,115.83,17,3.35,-1
1_HARDERSFIELD_15651,0,1,1,344.88,36,0,0,9.58,1
1_HARDERSFIELD_15743,3,12,0,1307.88,126,434.74,26,10.38,9
1_HARDERSFIELD_15824,9,3,1,1738.26,162,355.8,20,10.73,-6
1_HARDERSFIELD_15827,19,22,0,1336.5,198,277.75,25,6.75,3
1_HARDERSFIELD_15837,6,8,1,373.46,71,45.95,5,5.26,2
1_HARDERSFIELD_15859,0,3,1,225.48,12,0,0,18.79,3
1_HARDERSFIELD_15875,3,12,0,1960.14,273,443.65,35,7.18,9
1_HARDERSFIELD_15876,3,7,1,636.9,66,0,0,9.65,4
1_HARDERSFIELD_15889,2,21,0,898.45,151,160.86,14,5.95,19
1_HARDERSFIELD_15891,3,0,1,,,35.97,3,,-3
1_HARDERSFIELD_15892,19,37,0,1044.7,310,169.69,31,3.37,18
1_HARDERSFIELD_159,0,8,1,503.82,18,0,0,27.99,8
1_HARDERSFIELD_15922,0,19,0,1173,150,0,0,7.82,19
1_HARDERSFIELD_1595,0,8,1,2601.34,238,335.79,21,10.93,8
1_HARDERSFIELD_15971,12,10,1,,,0,0,,-2
1_HARDERSFIELD_15979,0,18,0,396.68,47,25.98,2,8.44,18
1_HARDERSFIELD_15980,13,23,0,418.56,48,38.97,3,8.72,10
1_HARDERSFIELD_16129,41,35,0,861.22,34,116.97,3,25.33,-6
1_HARDERSFIELD_16151,7,12,0,1387.44,188,241.78,22,7.38,5
1_HARDERSFIELD_16165,8,1,1,,,56.97,3,,-7
1_HARDERSFIELD_16175,11,22,0,862.96,184,104.85,15,4.69,11
1_HARDERSFIELD_16179,0,7,1,410.88,12,0,0,34.24,7
1_HARDERSFIELD_16189,2,0,1,1661.91,93,55.98,2,17.87,-2
1_HARDERSFIELD_1623,2,11,0,1711.9,170,357.74,26,10.07,9
1_HARDERSFIELD_16260,16,29,0,2069.34,273,557.56,44,7.58,13
1_HARDERSFIELD_16261,12,18,0,741.2,85,296.79,21,8.72,6
